
[STANDBY-SENTRY] 16:49:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 16:50:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 16:51:59 | Intent: ACTIVE | Load Delta: 0.25
[STANDBY-SENTRY] 16:52:59 | Intent: ACTIVE | Load Delta: 0.16
[STANDBY-SENTRY] 16:53:59 | Intent: ACTIVE | Load Delta: 0.06
[STANDBY-SENTRY] 16:54:59 | Intent: ACTIVE | Load Delta: 0.02
[STANDBY-SENTRY] 16:55:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 16:56:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 16:57:59 | Intent: ACTIVE | Load Delta: 0.05
[STANDBY-SENTRY] 16:58:59 | Intent: ACTIVE | Load Delta: 0.07
[STANDBY-SENTRY] 16:59:59 | Intent: ACTIVE | Load Delta: 0.08
[STANDBY-SENTRY] 17:00:59 | Intent: ACTIVE | Load Delta: 0.08
[STANDBY-SENTRY] 17:01:59 | Intent: ACTIVE | Load Delta: 0.18
[STANDBY-SENTRY] 17:02:59 | Intent: ACTIVE | Load Delta: 0.06
[STANDBY-SENTRY] 17:03:59 | Intent: ACTIVE | Load Delta: 0.02
[STANDBY-SENTRY] 17:04:59 | Intent: ACTIVE | Load Delta: 0.38
[STANDBY-SENTRY] 17:05:59 | Intent: ACTIVE | Load Delta: 0.29
[STANDBY-SENTRY] 17:06:59 | Intent: ACTIVE | Load Delta: 0.44
[STANDBY-SENTRY] 17:07:59 | Intent: ACTIVE | Load Delta: 0.39
[STANDBY-SENTRY] 17:08:59 | Intent: ACTIVE | Load Delta: 0.20
[STANDBY-SENTRY] 17:09:59 | Intent: ACTIVE | Load Delta: 0.07
[STANDBY-SENTRY] 17:10:59 | Intent: ACTIVE | Load Delta: 0.02
[STANDBY-SENTRY] 17:11:59 | Intent: ACTIVE | Load Delta: 0.06
[STANDBY-SENTRY] 17:12:59 | Intent: ACTIVE | Load Delta: 0.02
